iteration;exchange_no;tar_WA;confirmation_type;taskID;system_prompt;user_utterance;sysSA;sysRep.field;userValues;userFields;Openness;indValues..y.n..;system_words;numAVPs;NLUResult.values;NLUResult.fields;Correctly.transmitted.AVPs;Deletions;Substitutions;Insertions;PA.CO;PA.PA;PA.FA;PA.IC;X.constraints.left.in.agenda;numGoalChanges;indices.of.provided.restaurants;user.task.time;user.task.date;user.task.foodtype;user.task.price;user.task.localization;system.state.time;system.state.date;system.state.foodtype;system.state.price;system.state.localization;numConceptsIntroducedSoFar;ASRModel.used..1.simple..2.abstract..3.concrete.;barge.in;userSA;user_words;structS.time;structS.date;structS.foodtype;structS.price;structS.localization;user.scen.time;user.scen.date;user.scen.foodtype;user.scen.price;user.scen.localization
25;1;70;0;5;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Hm, nach der Zeit.  ;request;ALL;time ;field ;open;1;41;1;;;0;1;0;0;0;0;1;0;2;0;;evening;neutral;italian;neutral;neutral;;;;;;1;0;0;provide ;4;;;;;;evening;neutral;italian;neutral;neutral
25;2;70;0;5;Vom derzeitigen System können nur die folgenden Informationen bearbeitet werden: die Art der Küche, die Tageszeit und der Preis der Mahlzeit, der ungefähre Ort des Restaurants oder dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Art der Küche.  ;indicateValues;field;foodtype ;field ;open;1;33;1;foodtype ;field ;1;0;0;0;1;0;0;0;2;0;;evening;neutral;italian;neutral;neutral;;;;;;2;0;0;provide ;3;;hor ;;;;evening;neutral;italian;neutral;neutral
25;3;70;0;5;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;Italienische Küche.  ;indicateValues;foodtype;italian ;foodtype ;choice;1;16;1;foodtype ;field ;0;1;0;1;0;0;0;1;1;0;;evening;neutral;italian;neutral;neutral;;;;;;3;0;0;provide ;2;;hor ;;;;evening;neutral;italian;neutral;neutral
25;4;70;0;5;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;Italienische Küche.  ;indicateValues;foodtype;italian ;foodtype ;choice;1;16;1;italian foodtype ;foodtype field ;1;0;0;1;0;0;0;1;1;0;;evening;neutral;italian;neutral;neutral;;;;;;3;0;0;provide ;2;;hor ;;;;evening;neutral;italian;neutral;neutral
25;5;70;0;5;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;Abendessen.  ;request;time;evening ;time ;choice;1;11;1;evening ;time ;1;0;0;0;1;0;0;0;0;0;;evening;neutral;italian;neutral;neutral;;;italian ;;;4;0;0;provide ;1;hor ;hor ;cui20 ;;;evening;neutral;italian;neutral;neutral
25;6;70;0;5;An welchem Tag beabsichtigen Sie essen zu gehen? ;Freitag.  ;request;date;friday ;date ;closed;0;8;1;sunday ;date ;0;0;1;0;0;0;0;1;0;1;;evening;friday;italian;neutral;neutral;evening ;;italian ;;;5;0;0;provide ;1;hor ;hor ;cui20 ;;;evening;neutral;italian;neutral;neutral
25;7;70;0;5;Wieviel möchten Sie ungefähr pro Person ausgeben?;20 Euro.  ;request;price;average ;price ;closed;0;7;1;;;0;1;0;0;0;0;1;0;0;2;;evening;friday;italian;average;neutral;evening ;sunday ;italian ;;;6;0;0;provide ;2;hor ;hor ;cui20 ;;;evening;neutral;italian;neutral;neutral
25;8;70;0;5;Wieviel möchten Sie ungefähr pro Person ausgeben?;20 Euro.  ;request;price;average ;price ;closed;0;7;1;average ;price ;1;0;0;0;1;0;0;0;0;2;;evening;friday;italian;average;neutral;evening ;sunday ;italian ;;;6;0;0;provide ;2;hor ;hor ;cui20 ;;;evening;neutral;italian;neutral;neutral
25;9;70;0;5;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes ;logical ;1;0;0;0;1;0;0;0;1;3;;evening;friday;italian;expensive;neutral;evening ;sunday ;italian ;average ;;6;0;0;accept ;1;hor ;hor ;cui20 ;prx7 ;;evening;neutral;italian;neutral;neutral
25;10;70;0;5;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Hallo noch jemand da.  ;request;field;not_classifiable ;action ;closed;1;28;1;;;0;1;0;0;0;0;1;0;1;3;;evening;friday;italian;expensive;neutral;evening ;sunday ;italian ;average ;;7;0;0;;4;hor ;hor ;cui20 ;prx7 ;;evening;neutral;italian;neutral;neutral
25;11;70;0;5;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes ;logical ;1;0;0;0;1;0;0;0;1;3;;evening;friday;italian;expensive;neutral;evening ;sunday ;italian ;average ;;7;0;0;accept ;1;hor ;hor ;cui20 ;prx7 ;;evening;neutral;italian;neutral;neutral
25;12;70;0;5;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Preis der Mahlzeit.  ;request;field;price ;field ;closed;1;28;1;price ;field ;1;0;0;0;1;0;0;0;1;3;;evening;friday;italian;expensive;neutral;evening ;sunday ;italian ;average ;;8;0;0;provide ;3;hor ;hor ;cui20 ;prx7 ;;evening;neutral;italian;neutral;neutral
25;13;70;0;5;Sie haben folgende Auswahlmöglichkeiten: obere, mittlere, oder untere Preisklasse oder keine Präferenz.;Obere Preisklasse.  ;indicateValues;price;expensive ;price ;choice;1;12;1;expensive ;price ;1;0;0;0;1;0;0;0;0;3;;evening;friday;italian;expensive;neutral;evening ;sunday ;italian ;average ;;9;0;0;provide ;2;hor ;hor ;cui20 ;prx7 ;;evening;neutral;italian;neutral;neutral
25;14;70;0;5;Könnten Sie bitte den gewünschten Preis der Mahlzeit wiederholen?;Obere Preisklasse.  ;repetitionRequest;price;expensive ;price ;closed;0;9;1;expensive ;price ;1;0;0;0;1;0;0;0;0;3;;evening;friday;italian;expensive;neutral;evening ;sunday ;italian ;expensive average ;;9;0;0;provide ;2;hor ;hor ;cui20 ;prx5 prx6 prx7 prx8 ;;evening;neutral;italian;neutral;neutral
25;15;70;0;5;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes ;logical ;1;0;0;0;1;0;0;0;1;4;;evening;friday;chinese;expensive;neutral;evening ;sunday ;italian ;expensive average ;;9;0;0;accept ;1;hor ;hor ;cui20 ;prx5 prx6 prx7 prx8 ;;evening;neutral;italian;neutral;neutral
25;16;70;0;5;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Art der Küche.  ;request;field;foodtype ;field ;closed;1;28;1;foodtype ;field ;1;0;0;0;1;0;0;0;1;4;;evening;friday;chinese;expensive;neutral;evening ;sunday ;italian ;expensive ;;9;0;0;provide ;3;hor ;hor ;cui20 ;prx5 prx6 prx7 prx8 ;;evening;neutral;italian;neutral;neutral
25;17;70;0;5;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;Chinesische Küche.  ;indicateValues;foodtype;chinese ;foodtype ;choice;1;16;1;foodtype ;field ;0;1;0;1;0;0;0;1;0;4;;evening;friday;chinese;expensive;neutral;evening ;sunday ;italian ;expensive ;;10;0;0;provide ;2;hor ;hor ;cui20 ;prx5 prx6 prx7 prx8 ;;evening;neutral;italian;neutral;neutral
25;18;70;0;5;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;Keine Präferenz.  ;indicateValues;foodtype;neutral ;foodtype ;choice;1;16;1;;;0;1;0;0;0;0;1;0;0;5;;evening;friday;neutral;expensive;neutral;evening ;sunday ;italian ;expensive ;;11;0;0;provide ;2;hor ;hor ;cui20 ;prx5 prx6 prx7 prx8 ;;evening;neutral;italian;neutral;neutral
