iteration;exchange_no;tar_WA;confirmation_type;taskID;system_prompt;user_utterance;sysSA;sysRep.field;userValues;userFields;Openness;indValues (y/n)?;system_words;numAVPs;NLUResult.values;NLUResult.fields;Correctly transmitted AVPs;Deletions;Substitutions;Insertions;PA:CO;PA:PA;PA:FA;PA:IC;#constraints left in agenda;numGoalChanges;indices of provided restaurants;fieldRequestSwooshed;user.task.time;user.task.date;user.task.foodtype;user.task.price;user.task.localization;system.state.time;system.state.date;system.state.foodtype;system.state.price;system.state.localization;numConceptsIntroducedSoFar;ASRModel used (1=simple, 2=abstract, 3=concrete);barge-in;userSA;user_words;structS.time;structS.date;structS.foodtype;structS.price;structS.localization
1;1;100;0;1;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;;Request;all;chinese;foodtype;open;1;41;1;foodtype,chinese;field,foodtype;1;0;0;1;0;0;0;1;;;;0;midday;wednesday;chinese;expensive;neutral;;;;;;1;AVP-wise-concrete;0;Provide;0;;;;;
1;2;100;0;1;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;;Request;time;midday;time;choice;1;11;1;midday;time;1;0;0;0;1;0;0;0;;;;0;midday;wednesday;chinese;expensive;neutral;;;chinese ;;;2;AVP-wise-concrete;0;Inform;0;;hor;chinese;;
1;3;100;0;1;An welchem Tag beabsichtigen Sie essen zu gehen? ;;Request;date;wednesday;date;closed;0;8;1;wednesday;date;1;0;0;0;1;0;0;0;;;;0;midday;wednesday;chinese;expensive;neutral;midday ;;chinese ;;;3;AVP-wise-concrete;0;Inform;0;hor;hor;chinese;;
1;4;100;0;1;Wieviel möchten Sie ungefähr pro Person ausgeben?;;Request;price;expensive;price;closed;0;7;1;expensive;price;1;0;0;0;1;0;0;0;;;;0;midday;wednesday;chinese;expensive;neutral;midday ;wednesday ;chinese ;;;4;AVP-wise-concrete;0;Inform;0;;;chinese;;
1;5;100;0;1;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;;OfferModification;logical;no;logical;choice;0;13;1;no;logical;1;0;0;0;1;0;0;0;;;;0;midday;wednesday;chinese;expensive;neutral;midday ;wednesday ;chinese ;expensive ;;4;AVP-wise-concrete;0;Negate;0;hor;hor;chinese;prx5;
1;6;100;0;1;Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag!;;Bye;bye;;;na;0;13;0;;;;;;;;;;;;;;0;midday;wednesday;chinese;expensive;neutral;midday ;wednesday ;chinese ;expensive ;;4;AVP-wise-concrete;0;EMPTY;0;hor;hor;chinese;prx5;
2;1;100;0;1;Guten Abend! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Boris erlaubt es Ihnen, eine Recherche nach den folgenden Kriterien durchzuführen: der Art der Küche, der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Stellen Sie bitte Ihre Frage.;;Request;all;chinese;foodtype;open;1;46;1;chinese;foodtype;1;0;0;0;1;0;0;0;;;;0;midday;wednesday;chinese;expensive;neutral;;;;;;1;AVP-wise-concrete;0;Provide;0;;;;;
2;2;100;0;1;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;;Request;time;midday;time;choice;1;11;1;midday;time;1;0;0;0;1;0;0;0;;;;0;midday;wednesday;chinese;expensive;neutral;;;chinese ;;;2;AVP-wise-concrete;0;Inform;0;;hor;chinese;;
2;3;100;0;1;An welchem Tag beabsichtigen Sie essen zu gehen? ;;Request;date;wednesday;date;closed;0;8;1;;;0;1;0;0;0;0;1;0;;;;0;midday;wednesday;chinese;expensive;neutral;midday ;;chinese ;;;3;AVP-wise-concrete;0;Inform;0;hor;hor;chinese;;
2;4;100;0;1;An welchem Tag beabsichtigen Sie essen zu gehen? ;;Request;date;wednesday;date;closed;0;8;1;wednesday;date;1;0;0;0;1;0;0;0;;;;0;midday;wednesday;chinese;expensive;neutral;midday ;;chinese ;;;3;AVP-wise-concrete;0;Inform;0;hor;hor;chinese;;
